#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       6320
  1 10  9 10  0.757483E-01  68878.05
  1 10 10 10  0.164089E+00  67248.89
  1 10 11 10  0.803443E-02  65967.94
  1 10 12 10  0.489314E+00  65106.97
  1 11  0 11  0.384885E-08  94208.04
  1 11  1 11  0.206279E-07  90412.95
  1 11  2 11  0.736361E-07  86846.49
  1 11  3 11  0.316379E-06  83506.24
  1 11  4 11  0.218398E-05  80392.59
  1 11  5 11  0.221538E-04  77508.39
  1 11  6 11  0.254500E-03  74859.47
  1 11  7 11  0.263747E-02  72455.96
  1 11  8 11  0.205137E-01  70313.03
  1 11  9 11  0.956658E-01  68452.42
  1 11 10 11  0.156585E+00  66907.37
  1 11 11 11  0.694786E-02  65727.92
  1 12  0 12  0.149418E-08  93180.94
  1 12  1 12  0.101143E-07  89448.11
  1 12  2 12  0.492381E-07  85942.40
  1 12  3 12  0.295511E-06  82662.77
  1 12  4 12  0.263842E-05  79610.07
  1 12  5 12  0.308742E-04  76787.78
  1 12  6 12  0.375734E-03  74203.18
  1 12  7 12  0.390042E-02  71867.23
  1 12  8 12  0.289383E-01  69797.51
  1 12  9 12  0.118943E+00  68018.32
  1 12 10 12  0.127486E+00  66567.56
  1 12 11 12  0.939399E-01  65506.44
  1 13  0 13  0.677836E-09  92106.01
  1 13  1 13  0.583457E-08  88438.77
  1 13  2 13  0.383261E-07  84997.73
  1 13  3 13  0.310163E-06  81782.75
  1 13  4 13  0.344334E-05  78795.22
  1 13  5 13  0.453122E-04  76039.61
  1 13  6 13  0.575482E-03  73524.01
  1 13  7 13  0.591300E-02  71261.61
  1 13  8 13  0.411520E-01  69271.38
  1 13  9 13  0.142764E+00  67582.19
  1 13 10 13  0.735759E-01  66238.22
  1 14  0 14  0.352795E-09  90990.14
  1 14  1 14  0.388508E-08  87391.66
  1 14  2 14  0.340890E-07  84019.01
  1 14  3 14  0.361064E-06  80872.49
  1 14  4 14  0.482472E-05  77954.18
  1 14  5 14  0.698117E-04  75269.37
  1 14  6 14  0.911873E-03  72827.84
  1 14  7 14  0.915292E-02  70644.45
  1 14  8 14  0.584842E-01  68741.58
  1 14  9 14  0.160133E+00  67152.03
  1 14 10 14  0.133264E-01  65930.03
  1 15  0 15  0.208938E-09  89838.42
  1 15  1 15  0.295859E-08  86312.50
  1 15  2 15  0.342904E-07  83011.81
  1 15  3 15  0.462176E-06  79937.09
  1 15  4 15  0.721965E-05  77091.77
  1 15  5 15  0.112526E-03  74482.44
  1 15  6 15  0.149010E-02  72120.24
  1 15  7 15  0.143960E-01  70022.42
  1 15  8 15  0.820410E-01  68214.39
  1 15  9 15  0.157865E+00  66736.17
  2  0  0  0  0.116738E-05 100559.59
