#  H2 facteur FC   EF et X non couplé                                                         
#  VU JU VL JL      FC       TR.E.(cm-1)                                                
#       11759
  1  1  4  3  0.815679E-08  83557.90
  1  1  5  3  0.359461E-06  80350.16
  1  1  6  3  0.401431E-05  77370.59
  1  1  7  3  0.477630E-04  74623.64
  1  1  8  3  0.556267E-03  72117.19
  1  1  9  3  0.550098E-02  69863.23
  1  1 10  3  0.410371E-01  67879.21
  1  1 11  3  0.199823E+00  66189.62
  1  1 12  3  0.480557E+00  64828.75
  1  1 13  3  0.249140E+00  63844.87
  1  1 14  3  0.989092E-02  63308.25
  1  2  0  4  0.208288E-05  98231.87
  1  2  0  0  0.177441E-05  99400.65
  1  2  1  4  0.430173E-05  94129.29
  1  2  1  0  0.407360E-05  95239.51
  1  2  2  4  0.330556E-05  90260.79
  1  2  2  0  0.351197E-05  91313.72
  1  2  3  4  0.109973E-05  86621.87
  1  2  3  0  0.136083E-05  87618.29
  1  2  4  4  0.664924E-07  83209.99
  1  2  4  0  0.145067E-06  84150.34
  1  2  5  4  0.276509E-06  80024.66
  1  2  5  0  0.128513E-06  80908.73
  1  2  6  4  0.461611E-05  77067.80
  1  2  6  0  0.279553E-05  77894.87
  1  2  7  4  0.571848E-04  74344.29
  1  2  7  0  0.342731E-04  75112.74
  1  2  8  4  0.668152E-03  71862.21
  1  2  8  0  0.402624E-03  72569.49
  1  2  9  4  0.654415E-02  69634.23
  1  2  9  0  0.407471E-02  70276.56
  1  2 10  4  0.477905E-01  67678.50
  1  2 10  0  0.316314E-01  68250.18
  1  2 11  4  0.223686E+00  66020.55
  1  2 11  0  0.164531E+00  66513.52
  1  2 12  4  0.495135E+00  64696.32
  1  2 12  0  0.448653E+00  65098.45
  1  2 13  4  0.196925E+00  63757.18
  1  2 13  0  0.329266E+00  64049.29
  1  2 14  0  0.162111E-02  63427.27
  1  3  0  5  0.181200E+00  97803.09
  1  3  0  1  0.144679E+00  99424.80
  1  3  1  5  0.376656E+00  93729.35
  1  3  1  1  0.347268E+00  95269.55
  1  3  2  5  0.299962E+00  89889.15
  1  3  2  1  0.321288E+00  91349.49
  1  3  3  5  0.116583E+00  86278.03
  1  3  3  1  0.146933E+00  87659.79
  1  3  4  5  0.232251E-01  82893.82
  1  3  4  1  0.352526E-01  84197.49
  1  3  5  5  0.227055E-02  79736.27
  1  3  5  1  0.432245E-02  80961.59
  1  3  6  5  0.973145E-04  76807.69
  1  3  6  1  0.246420E-03  77953.48
  1  3  7  5  0.218887E-05  74113.20
  1  3  7  1  0.649519E-05  75177.16
  1  3  8  5  0.260331E-06  71661.58
  1  3  8  1  0.367423E-06  72640.12
  1  3  9  5  0.993615E-07  69466.08
  1  3  9  1  0.145997E-06  70353.66
  1  3 10  5  0.620921E-08  67545.80
  1  3 10  1  0.488410E-08  68334.37
  1  3 11  5  0.515670E-06  65927.70
  1  3 11  1  0.249199E-06  66605.50
  1  3 12  5  0.147706E-05  64650.02
  1  3 12  1  0.123391E-05  65199.37
  1  3 13  5  0.493117E-06  63768.36
  1  3 13  1  0.105446E-05  64160.99
  1  3 14  1  0.255738E-08  63552.78
  1  4  0  6  0.185929E+00  97377.12
  1  4  0  2  0.139521E+00  99437.53
  1  4  1  6  0.379906E+00  93337.60
  1  4  1  2  0.342363E+00  95294.06
  1  4  2  6  0.297021E+00  89530.68
  1  4  2  2  0.324008E+00  91385.59
  1  4  3  6  0.113034E+00  85952.70
  1  4  3  2  0.151744E+00  87707.22
  1  4  4  6  0.219449E-01  82601.52
  1  4  4  2  0.373570E-01  84256.18
  1  4  5  6  0.207531E-02  79477.11
  1  4  5  2  0.471821E-02  81031.60
  1  4  6  6  0.858760E-04  76582.11
  1  4  6  2  0.279699E-03  78034.90
  1  4  7  6  0.212548E-05  73922.34
  1  4  7  2  0.793643E-05  75270.35
  1  4  8  6  0.385482E-06  71507.18
  1  4  8  2  0.533952E-06  72745.54
  1  4  9  6  0.229580E-06  69350.67
  1  4  9  2  0.289588E-06  70472.11
  1  4 10  6  0.352921E-07  67473.12
  1  4 10  2  0.103417E-06  68467.11
  1  4 11  6  0.705652E-07  65903.34
  1  4 11  2  0.538687E-08  66753.78
  1  4 12  6  0.383259E-06  64682.46
  1  4 12  2  0.258930E-06  65365.63
  1  4 13  6  0.124464E-06  63872.85
  1  4 13  2  0.325703E-06  64348.86
  1  5  0  7  0.190373E+00  96911.26
  1  5  0  3  0.134468E+00  99393.29
  1  5  1  7  0.382876E+00  92911.39
  1  5  1  3  0.337340E+00  95267.42
  1  5  2  7  0.294233E+00  89143.15
  1  5  2  3  0.326571E+00  91376.13
  1  5  3  7  0.109752E+00  85603.37
  1  5  3  3  0.156606E+00  87714.69
  1  5  4  7  0.207811E-01  82290.07
  1  5  4  3  0.395458E-01  84280.56
  1  5  5  7  0.190265E-02  79203.89
  1  5  5  3  0.514132E-02  81072.82
  1  5  6  7  0.765173E-04  76347.88
  1  5  6  3  0.316838E-03  78093.25
  1  5  7  7  0.220866E-05  73728.39
  1  5  7  3  0.976508E-05  75346.30
  1  5  8  7  0.596608E-06  71355.69
  1  5  8  3  0.796433E-06  72839.85
  1  5  9  7  0.427809E-06  69244.69
  1  5  9  3  0.510571E-06  70585.89
  1  5 10  7  0.131109E-06  67417.37
  1  5 10  3  0.272562E-06  68601.87
  1  5 11  7  0.183884E-07  65904.77
  1  5 11  3  0.156148E-07  66912.28
  1  5 12  7  0.371159E-06  64752.22
  1  5 12  3  0.158123E-06  65551.41
  1  5 13  7  0.120011E-06  64031.98
  1  5 13  3  0.393222E-06  64567.53
  1  6  0  8  0.194476E+00  96410.06
  1  6  0  4  0.129528E+00  99293.01
  1  6  1  8  0.385558E+00  92454.02
  1  6  1  4  0.332207E+00  95190.43
  1  6  2  8  0.291641E+00  88729.67
  1  6  2  4  0.328962E+00  91321.93
  1  6  3  8  0.106758E+00  85232.91
  1  6  3  4  0.161510E+00  87683.01
  1  6  4  8  0.197362E-01  81962.73
  1  6  4  4  0.418210E-01  84271.13
  1  6  5  8  0.175305E-02  78919.65
  1  6  5  4  0.559514E-02  81085.80
  1  6  6  8  0.695702E-04  76107.89
  1  6  6  4  0.359206E-03  78128.94
  1  6  7  8  0.259764E-05  73534.13
  1  6  7  4  0.123137E-04  75405.43
  1  6  8  8  0.111223E-05  71209.71
  1  6  8  4  0.132854E-05  72923.35
  1  6  9  8  0.106869E-05  69151.00
  1  6  9  4  0.109834E-05  70695.37
  1  6 10  8  0.606282E-06  67381.36
  1  6 10  4  0.910202E-06  68739.64
  1  6 11  8  0.151564E-08  65935.51
  1  6 11  4  0.279339E-06  67081.69
  1  6 12  8  0.111065E-05  64863.78
  1  6 12  4  0.164400E-06  65757.46
  1  6 13  4  0.145131E-05  64818.32
  1  7  0  9  0.197678E+00  95876.02
  1  7  0  5  0.124387E+00  99137.78
  1  7  1  9  0.386970E+00  91969.71
  1  7  1  5  0.326141E+00  95064.04
  1  7  2  9  0.288573E+00  88293.19
  1  7  2  5  0.330347E+00  91223.84
  1  7  3  9  0.103833E+00  84844.16
  1  7  3  5  0.166055E+00  87612.72
  1  7  4  9  0.187857E-01  81621.56
  1  7  4  5  0.440994E-01  84228.51
  1  7  5  9  0.163779E-02  78626.78
  1  7  5  5  0.608609E-02  81070.96
  1  7  6  9  0.747266E-04  75864.32
  1  7  6  5  0.419599E-03  78142.38
  1  7  7  9  0.135615E-04  73341.95
  1  7  7  5  0.243814E-04  75447.89
  1  7  8  9  0.436916E-04  71071.91
  1  7  8  5  0.188888E-04  72996.27
  1  7  9  9  0.178482E-03  69072.10
  1  7  9  5  0.775261E-04  70800.77
  1  7 10  9  0.395349E-03  67368.59
  1  7 10  5  0.265350E-03  68880.49
  1  7 11  9  0.811230E-04  65999.35
  1  7 11  5  0.375669E-03  67262.39
  1  7 12  9  0.867996E-03  65023.38
  1  7 12  5  0.225484E-05  65984.71
  1  7 13  5  0.127490E-02  65103.05
  1  8  0 10  0.557380E-06  94957.35
  1  8  0  6  0.319646E-06  98573.40
  1  8  1 10  0.133840E-05  91104.37
  1  8  1  6  0.100661E-05  94533.88
  1  8  2 10  0.155185E-05  87480.74
  1  8  2  6  0.141832E-05  90726.96
  1  8  3 10  0.166929E-05  84084.14
  1  8  3  6  0.144803E-05  87148.98
  1  8  4 10  0.380533E-05  80913.71
  1  8  4  6  0.201524E-05  83797.80
  1  8  5 10  0.233980E-04  77971.95
  1  8  5  6  0.714688E-05  80673.39
  1  8  6 10  0.223600E-03  75263.81
  1  8  6  6  0.536222E-04  77778.39
  1  8  7 10  0.215818E-02  72798.05
  1  8  7  6  0.507016E-03  75118.62
  1  8  8 10  0.165718E-01  70588.36
  1  8  8  6  0.441947E-02  72703.46
  1  8  9 10  0.810956E-01  68654.64
  1  8  9  6  0.289633E-01  70546.95
  1  8 10 10  0.164102E+00  67025.48
  1  8 10  6  0.112553E+00  68669.40
  1  8 11 10  0.426687E-02  65744.53
  1  8 11  6  0.146493E+00  67099.62
  1  8 12 10  0.501543E+00  64883.56
  1  8 12  6  0.138992E-01  65878.74
  1  8 13  6  0.540860E+00  65069.13
  1  9  0 11  0.724819E-07  93962.19
  1  9  0  7  0.373891E-07  97906.65
  1  9  1 11  0.219334E-06  90167.10
  1  9  1  7  0.143328E-06  93906.78
  1  9  2 11  0.388622E-06  86600.64
  1  9  2  7  0.278313E-06  90138.54
  1  9  3 11  0.829720E-06  83260.39
  1  9  3  7  0.480458E-06  86598.76
  1  9  4 11  0.365511E-05  80146.74
  1  9  4  7  0.129500E-05  83285.46
  1  9  5 11  0.304494E-04  77262.54
  1  9  5  7  0.716480E-05  80199.28
  1  9  6 11  0.319290E-03  74613.62
  1  9  6  7  0.633856E-04  77343.27
  1  9  7 11  0.312106E-02  72210.11
  1  9  7  7  0.630158E-03  74723.78
  1  9  8 11  0.230873E-01  70067.18
  1  9  8  7  0.551849E-02  72351.08
  1  9  9 11  0.101915E+00  68206.57
  1  9  9  7  0.351513E-01  70240.08
  1  9 10 11  0.152816E+00  66661.52
  1  9 10  7  0.126267E+00  68412.76
  1  9 11 11  0.128372E-01  65482.07
  1  9 11  7  0.126636E+00  66900.16
  1  9 12  7  0.596714E-01  65747.61
  1  9 13  7  0.461208E+00  65027.37
  1 10  0 12  0.182121E-07  92912.96
  1 10  0  8  0.834212E-08  97159.84
  1 10  1 12  0.704687E-07  89180.13
  1 10  1  8  0.391278E-07  93203.80
  1 10  2 12  0.185059E-06  85674.42
  1 10  2  8  0.102795E-06  89479.45
  1 10  3 12  0.650928E-06  82394.79
  1 10  3  8  0.269186E-06  85982.69
  1 10  4 12  0.422093E-05  79342.09
  1 10  4  8  0.110312E-05  82712.51
  1 10  5 12  0.423141E-04  76519.80
  1 10  5  8  0.791976E-05  79669.43
  1 10  6 12  0.473530E-03  73935.20
  1 10  6  8  0.785871E-04  76857.67
  1 10  7 12  0.463174E-02  71599.25
  1 10  7  8  0.813128E-03  74283.91
  1 10  8 12  0.325429E-01  69529.53
  1 10  8  8  0.710700E-02  71959.49
